# actor_loss, critic_loss ,rewards
-7.554841041564941406e-01,6.222944855690002441e-01,8.327552700621095871e-01
-7.563113570213317871e-01,6.234778761863708496e-01,9.491080538640784825e-01
-7.572057247161865234e-01,6.247925758361816406e-01,9.643544626740675474e-01
-7.576075196266174316e-01,6.252168416976928711e-01,8.505871446050253804e-01
-7.578029632568359375e-01,6.253017783164978027e-01,8.016385158746409667e-01
-7.584573626518249512e-01,6.261758804321289062e-01,9.160738962634562554e-01
-7.562680244445800781e-01,6.237644553184509277e-01,2.643938644822649842e-01
-7.565201520919799805e-01,6.239413022994995117e-01,8.327113850086175217e-01
-7.568210959434509277e-01,6.242003440856933594e-01,8.333325585628742482e-01
-7.571275830268859863e-01,6.244704723358154297e-01,8.333333325537030101e-01
-7.541666030883789062e-01,6.218677759170532227e-01,6.666666666666665186e-02
-7.543236017227172852e-01,6.218892931938171387e-01,7.999999999999999334e-01
-7.545912265777587891e-01,6.220908761024475098e-01,8.327113850086175217e-01
-7.553778886795043945e-01,6.232100725173950195e-01,9.491080333766447330e-01
-7.562212944030761719e-01,6.244406104087829590e-01,9.643544626739294356e-01
-7.569258213043212891e-01,6.254118084907531738e-01,9.325581256724587709e-01
-7.538717389106750488e-01,6.228594779968261719e-01,3.333333333333336063e-02
-7.547863125801086426e-01,6.242225170135498047e-01,9.824417009602194328e-01
-7.557614445686340332e-01,6.257085204124450684e-01,9.976877960112222610e-01
-7.562709450721740723e-01,6.263232827186584473e-01,8.839204779383775801e-01
-7.565660476684570312e-01,6.265729069709777832e-01,8.349718494768562094e-01
-7.573270201683044434e-01,6.276522874832153320e-01,9.494072295969179232e-01
-7.576891183853149414e-01,6.280180811882019043e-01,8.486188301541434109e-01
-7.575258016586303711e-01,6.275632977485656738e-01,7.195712039759905032e-01
-7.577507495880126953e-01,6.277047395706176758e-01,8.183523121834000991e-01
-7.584822177886962891e-01,6.287384033203125000e-01,9.471355582573476317e-01
-7.592788934707641602e-01,6.298992633819580078e-01,9.640946688514476781e-01
-7.562202215194702148e-01,6.274408102035522461e-01,0.000000000000000000e+00
-7.559751868247985840e-01,6.270032525062561035e-01,8.666666666666666963e-01
-7.562043070793151855e-01,6.273952722549438477e-01,8.666666666666666963e-01
-7.606552839279174805e-01,6.324186325073242188e-01,9.824417009602194328e-01
-7.585510015487670898e-01,6.314312219619750977e-01,9.976877960112222610e-01
-7.621289491653442383e-01,6.348215341567993164e-01,9.996955122319305387e-01
-7.591016888618469238e-01,6.323723793029785156e-01,9.999599028453571847e-01
-7.594754695892333984e-01,6.326231956481933594e-01,6.666666666666665186e-02
-7.551213502883911133e-01,6.281098127365112305e-01,9.824417009602194328e-01
-7.569056749343872070e-01,6.312514543533325195e-01,9.638923291747313327e-01
-7.607358694076538086e-01,6.348974704742431641e-01,9.325441869617631108e-01
-7.586117982864379883e-01,6.341538429260253906e-01,0.000000000000000000e+00
-7.519556283950805664e-01,6.257451176643371582e-01,7.508916323731139597e-01
-7.643010616302490234e-01,6.407133340835571289e-01,7.356455373221110206e-01
-7.569798231124877930e-01,6.324823498725891113e-01,7.336378211014028539e-01
-7.525531053543090820e-01,6.248052120208740234e-01,7.333734304879762078e-01
-7.552872896194458008e-01,6.298493742942810059e-01,7.333386136170721992e-01
-7.536563873291015625e-01,6.266903877258300781e-01,7.333340286793400553e-01
-7.547177076339721680e-01,6.277841329574584961e-01,7.333334249015317496e-01
-7.583193182945251465e-01,6.294506192207336426e-01,7.000000000000000666e-01
-7.505571842193603516e-01,6.233170628547668457e-01,7.333333333333333925e-01
-7.583147287368774414e-01,6.310092806816101074e-01,7.333333333333333925e-01
-7.584383487701416016e-01,6.320449113845825195e-01,7.333333333333333925e-01
-7.601206302642822266e-01,6.330351233482360840e-01,7.000000000000000666e-01
-7.516710758209228516e-01,6.241024732589721680e-01,8.157732859816370086e-01
-7.640021443367004395e-01,6.341903805732727051e-01,9.467961628953233122e-01
-7.618106603622436523e-01,6.353098154067993164e-01,9.969224931820165336e-01
-7.584505081176757812e-01,6.302455067634582520e-01,9.996553103589134182e-01
-7.581863999366760254e-01,6.314184665679931641e-01,9.999546225607097716e-01
-7.618645429611206055e-01,6.342860460281372070e-01,9.999940243702433174e-01
-7.582714557647705078e-01,6.330057978630065918e-01,9.999992130857947581e-01
-7.618121504783630371e-01,6.343880295753479004e-01,6.666666666666665186e-02
